,asignatura,nombre_asignatura
614,FPTSP25,COMPUTACION EMERGENTE
655,FPTSP18,SEGURIDAD DE LA INFORMACIÖN
952,FPTSP19,OPTIMIZACION II
955,FPTSP07,INGENIERIA DE SOFTWARE
1551,BPTSP03,ORGANIZACION DEL COMPUTADOR
406,FBPLI01,LENGUA Y LENGUAJE
408,FBPCE03,ESTRATEGIAS INSTRUMENTALES
409,FBPMM01,ELEMENTOS DE MATEMATICA 1
622,FPTSP22,TALLER DE TRABAJO DE GRADO - INGENIERÍA
718,FPTIS01,DEFENSA TRABAJO DE GRADO-ING.SISTEMAS
795,FPTSP23,SISTEMAS DE APOYO
797,FPTPI09,GESTIÓN DE LA CADENA DE SUMINISTRO I
804,FPTSP14,PROYECTOS DE INGENIERIA
951,BPTDI01-2,SERVICIO COMUNITARIO
993,FPTSP21,MODELAC. DE SISTEMAS EN REDES
1028,BPTMI20,ESTADISTICA PARA INGENIEROS
1045,FPTCS16,INGENIERÍA AMBIENTAL
1114,FPTEN23,SISTEMAS DE REDES
1115,FPTSP04,SISTEMAS DE INFORMACION
1118,FPTSP02,ADMINISTRACION DE BASES DE DATOS
1270,FPTSP15,INGENIERIA ECONOMICA
1290,BPTMI11,ECUACIONES DIFERENCIALES
1432,FGS0000,SELECCION BANDA DE JAZZ
1459,BPTFI02,FISICA II
1531,BPTMI03,MATEMATICAS III
1535,BPTSP05,ALGORITMOS Y PROGRAMACION
1540,BPTSP04,SISTEMAS OPERATIVOS
1544,FPTSP01,BASES DE DATOS
1550,BPTMI04,MATEMATICAS IV
1554,FPTSP20,SIMULACIÓN
1557,FBTIE01,INICIATIVA EMPRENDEDORA
1575,BPTDI01-1,SERVICIO COMUNITARIO
1576,FPTSP17,OPTIMIZACION I
1577,FPTMI21,MODELOS ESTOCASTICOS
1579,FPTSP11,GERENCIA DE PROYECTOS TIC
1580,BPTFI03,FISICA III
1581,BPTMI31,ALGEBRA LINEAL
1585,BPTFI01,FISICA I
1586,BPTSP06,ESTRUCTURAS DE DATOS
1589,BPTMI30,MATEMATICAS DISCRETAS
1591,FBTSP03,INTRODUCCION A LA INGENIERIA
1593,BPTMI05,MATEMATICAS V
1594,BPTEN12,ARQUITECTURA DEL COMPUTADOR
1603,FBTIN05,INGLES V
1691,FBPIN02,INGLES II
1718,FBTCE03,TECNOLOGIAS PARA EL APRENDIZAJE
1734,FBPCE04,INSTRUMENTACION Y APRENDIZAJE
1735,FBPIN01,INGLES I
1767,FBTIN04,INGLES IV
1769,FBTIE02,COMPETENCIAS EN ACCION
1773,FBTHU02,COMPRENSION DE VENEZUELA
1774,FBTIE03,APRENDIENDO A EMPRENDER
1,BPTFI04,LABORATORIO DE FISICA
2,FBPIN03,INGLES III
7,BPTMI02,MATEMATICAS II
9,BPTPI07,DISEñO ASISTIDO POR COMPUTADOR
10,BPTQI21,QUIMICA GENERAL I
11,BPTMI01,MATEMATICAS I
13,FBTMM00,MATEMATICA GENERAL
14,FBTCE04,TECNICAS DE GESTION DE LA INFORMACION
16,BPTQI22,LABORATORIO QUIMICA GENERAL I
19,FBTMM01,MATEMATICA BASICA
22,FBPLI02,LECTURA Y APRENDIZAJE
23,FGE0000,SUBMARINISMO: VISION AL MUNDO MARINO
24,FBTHU01,LENGUAJE Y UNIVERSALIDAD
25,FBPMM02,ELEMENTOS DE MATEMATICA 2
